"Team","Position","Name","Games played","Goals scored","Interceptions","Recoveries","Passes"
"Villarreal CF","Defender","Bonera","5","0","4","9","93"
"Villarreal CF","Midfielder","Manuel Morlanes","10","0","5","48","320"
"Villarreal CF","Midfielder","Cáseres","23","1","14","98","862"
"Villarreal CF","Midfielder","P. Fornals","35","0","24","163","1.13"
"Villarreal CF","Midfielder","Iborra","19","3","22","119","791"
"Villarreal CF","Midfielder","M. Trigueros","24","2","16","106","983"
"Villarreal CF","Midfielder","Pedraza","34","3","29","105","710"
"Villarreal CF","Midfielder","Javi Fuego","5","1","3","15","144"
"Villarreal CF","Midfielder","S. Cazorla","35","4","28","201","1.573"
"Villarreal CF","Midfielder","Bruno","0","1","0","0","0"
"Villarreal CF","Midfielder","Raba","8","0","1","17","93"
"Villarreal CF","Midfielder","Samuel Chukwueze","26","5","10","102","504"
"Villarreal CF","Midfielder","Iván Martín","0","0","0","0","0"
"Villarreal CF","Midfielder","Andrei Ratiu","0","1","0","0","0"
"Villarreal CF","Forward","Gerard","35","8","9","89","740"
"Villarreal CF","Forward","Bacca","33","6","8","30","270"
"Villarreal CF","Forward","Toko Ekambi","34","10","11","63","501"
